horario,pressao,geracao,vazao
"08/02/2023 17:28:45",158,7,24358
"08/02/2023 17:28:45",173,18,24358
"08/02/2023 17:28:45",168,2,24358
"08/02/2023 17:28:45",295,3,24358
"08/02/2023 17:28:46",184,8,24358
"08/02/2023 17:28:46",175,24,24358
"08/02/2023 17:28:46",172,8,24358
"08/02/2023 17:28:46",203,2,24358
"08/02/2023 17:28:46",168,4,24358
"08/02/2023 17:28:46",167,2,24358
"08/02/2023 17:28:46",140,19,24358
"08/02/2023 17:28:46",176,17,24358
"08/02/2023 17:28:46",171,8,24358
"08/02/2023 17:28:46",170,19,24358
"08/02/2023 17:28:47",183,0,24358
"08/02/2023 17:28:47",154,3,24358
"08/02/2023 17:28:47",167,9,24358
"08/02/2023 17:28:47",173,16,24358
"08/02/2023 17:28:47",168,0,24358
"08/02/2023 17:28:47",189,19,24358
"08/02/2023 17:28:47",170,8,24358
"08/02/2023 17:28:47",159,20,24358
"08/02/2023 17:28:47",153,7,24358
"08/02/2023 17:28:47",173,9,24358
"08/02/2023 17:28:48",159,9,24358
"08/02/2023 17:28:48",185,7,24358
"08/02/2023 17:28:48",169,0,24358
"08/02/2023 17:28:48",188,20,24358
"08/02/2023 17:28:48",186,2,24358
"08/02/2023 17:28:48",173,5,24358
"08/02/2023 17:28:48",169,17,24358
"08/02/2023 17:28:48",156,5,24358
"08/02/2023 17:28:48",169,7,24358
"08/02/2023 17:28:48",154,8,24358
"08/02/2023 17:28:49",184,7,24358
"08/02/2023 17:28:49",185,4,24358
"08/02/2023 17:28:49",204,9,24358
"08/02/2023 17:28:49",172,6,24358
"08/02/2023 17:28:49",184,23,24358
"08/02/2023 17:28:49",167,3,24358
"08/02/2023 17:28:49",167,22,24358
"08/02/2023 17:28:49",157,6,24358
"08/02/2023 17:28:49",175,6,24358
"08/02/2023 17:28:49",185,8,24358
"08/02/2023 17:28:50",159,1,24358
"08/02/2023 17:28:50",175,17,24358
"08/02/2023 17:28:50",160,2,24358
"08/02/2023 17:28:50",189,5,24358
"08/02/2023 17:28:50",184,0,24358
"08/02/2023 17:28:50",169,10,24358
"08/02/2023 17:28:50",183,5,24358
"08/02/2023 17:28:50",151,17,24358
"08/02/2023 17:28:50",189,19,24358
"08/02/2023 17:28:50",158,6,24358
"08/02/2023 17:28:51",184,6,24358
"08/02/2023 17:28:51",168,7,24358
"08/02/2023 17:28:51",166,20,24358
"08/02/2023 17:28:51",172,17,24358
"08/02/2023 17:28:51",168,0,24358
"08/02/2023 17:28:51",166,16,24358
"08/02/2023 17:28:51",168,19,24358
"08/02/2023 17:28:51",175,2,24358
"08/02/2023 17:28:51",171,6,24358
"08/02/2023 17:28:51",152,24,24358
"08/02/2023 17:28:52",172,8,24358
"08/02/2023 17:28:52",185,18,24358
"08/02/2023 17:28:52",172,20,24358
"08/02/2023 17:28:52",170,4,24358
"08/02/2023 17:28:52",199,3,24358
"08/02/2023 17:28:52",154,9,24358
"08/02/2023 17:28:52",181,4,24358
"08/02/2023 17:28:52",172,5,24358
"08/02/2023 17:28:52",172,8,24358
"08/02/2023 17:28:52",183,7,24358
"08/02/2023 17:28:53",168,0,24358
"08/02/2023 17:28:53",141,7,24358
"08/02/2023 17:28:53",144,18,24358
"08/02/2023 17:28:53",157,2,24358
"08/02/2023 17:28:53",158,8,24358
"08/02/2023 17:28:53",184,6,24358
"08/02/2023 17:28:53",171,18,24358
"08/02/2023 17:28:53",151,7,24358
"08/02/2023 17:28:53",170,5,24358
"08/02/2023 17:28:53",155,8,24358
"08/02/2023 17:28:54",157,20,24358
"08/02/2023 17:28:54",176,8,24358
"08/02/2023 17:28:54",173,7,24358
"08/02/2023 17:28:54",185,8,24358
"08/02/2023 17:28:54",157,18,24358
"08/02/2023 17:28:54",171,7,24358
"08/02/2023 17:28:54",154,8,24358
"08/02/2023 17:28:54",143,0,24358
"08/02/2023 17:28:54",185,17,24358
"08/02/2023 17:28:54",187,18,24358
"08/02/2023 17:28:55",167,10,24358
"08/02/2023 17:28:55",172,5,24358
"08/02/2023 17:28:55",156,5,24358
"08/02/2023 17:28:55",173,22,24358
"08/02/2023 17:28:55",187,11,24358
"08/02/2023 17:28:55",175,7,24358
"08/02/2023 17:28:55",168,21,24358
"08/02/2023 17:28:55",201,8,24358
"08/02/2023 17:28:55",202,18,24358
"08/02/2023 17:28:55",153,3,24358
"08/02/2023 17:28:56",188,17,24358
"08/02/2023 17:28:56",201,18,24358
"08/02/2023 17:28:56",171,21,24358
"08/02/2023 17:28:56",152,20,24358
"08/02/2023 17:28:56",173,16,24358
"08/02/2023 17:28:56",160,21,24358
"08/02/2023 17:28:56",175,18,24358
"08/02/2023 17:28:56",173,9,24358
"08/02/2023 17:28:56",160,8,24358
"08/02/2023 17:28:56",166,7,24358
"08/02/2023 17:28:57",156,6,24358
"08/02/2023 17:28:57",157,1,24358
"08/02/2023 17:28:57",153,16,24358
"08/02/2023 17:28:57",159,6,24358
"08/02/2023 17:28:57",158,8,24358
"08/02/2023 17:28:57",141,0,24358
"08/02/2023 17:28:57",151,9,24358
"08/02/2023 17:28:57",154,19,24358
"08/02/2023 17:28:57",155,8,24358
"08/02/2023 17:28:57",188,18,24358
"08/02/2023 17:28:58",184,17,24358
"08/02/2023 17:28:58",141,9,24358
"08/02/2023 17:28:58",172,6,24358
"08/02/2023 17:28:58",155,5,24358
"08/02/2023 17:28:58",156,0,24358
"08/02/2023 17:28:58",153,16,24358
"08/02/2023 17:28:58",185,3,24358
"08/02/2023 17:28:58",174,19,24358
"08/02/2023 17:28:58",154,2,24358
"08/02/2023 17:28:58",170,19,24358
"08/02/2023 17:28:59",171,19,24358
"08/02/2023 17:28:59",182,3,24358
"08/02/2023 17:28:59",171,6,24358
"08/02/2023 17:28:59",189,23,24358
"08/02/2023 17:28:59",156,6,24358
"08/02/2023 17:28:59",169,8,24358
"08/02/2023 17:28:59",154,9,24358
"08/02/2023 17:28:59",168,16,24358
"08/02/2023 17:28:59",159,23,24358
"08/02/2023 17:28:59",158,9,24358
"08/02/2023 17:29:00",169,6,24358
"08/02/2023 17:29:00",183,20,24358
"08/02/2023 17:29:00",172,3,24358
"08/02/2023 17:29:00",168,5,24358
"08/02/2023 17:29:00",155,5,24358
"08/02/2023 17:29:00",154,9,24358
"08/02/2023 17:29:00",183,5,24358
"08/02/2023 17:29:00",169,6,24358
"08/02/2023 17:29:00",173,6,24358
"08/02/2023 17:29:00",173,20,24358
"08/02/2023 17:29:01",170,4,24358
"08/02/2023 17:29:01",155,3,24358
